"","site_name","site_altname","date_ymd","Year","Month","DOY","latitude","longitude","TDN_mg.L","DOC_mg.L","A254","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX_Ohno","Fmax","PeakA_RU","PeakB_RU","PeakC_RU","PeakD_RU","PeakE_RU","PeakM_RU","PeakN_RU","PeakP_RU","PeakT_RU","PeakA_percent","PeakB_percent","PeakC_percent","PeakD_percent","PeakE_percent","PeakM_percent","PeakN_percent","PeakP_percent","PeakT_percent","turb_lab_NTU","turb_field_NTU","chla_ug.L","secchi_depth_m","ext_coeff_m"
"33","Opposite Sun Valley","BP opp. Sun Valley",2015-07-13,"2015","Jul",194,50.736322,50.736322,NA,NA,22.4536492215668,15.0113465708253,3.48519570270017,0.583664025851471,0.021487982282483,0.0204021260815619,1.05322269829037,0.731043673427685,1.60148506505432,6.86881387617102,0.87291604354396,3.21726738394049,1.68402773598457,NA,1.07807747227259,0.400294091505502,0.108361075244501,1.16652981378749,NA,0.0318964609866354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Opposite Sun Valley","BP opp. Sun Valley",2015-07-13,"2015","Jul",194,50.68295,50.68295,NA,NA,21.8694939953567,14.6057297760094,3.3868388236359,0.559670724087075,0.0214395114632685,0.0207227514452043,1.03458807195364,0.749378463722033,1.59161733980764,6.65151838417164,0.869306985909012,3.27143592810341,1.6884931892044,NA,1.0708330636957,0.403214252300769,0.113100416471206,1.11941334381014,NA,0.0315397112386989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Opposite South Lake","BP opp. South lake",2015-07-13,"2015","Jul",194,50.65615,50.65615,NA,NA,21.1794589933434,14.1472204894787,3.29236572895824,0.551515209839465,0.021613887796364,0.0203020664271726,1.06461516486005,0.760007130027286,1.57787727213479,6.63155812001628,0.868965159634024,2.9966072344081,1.55722655065705,NA,0.961193449863171,0.372634066634991,0.10235029276272,1.01074234845538,NA,0.0323667095906926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","0.5 mi Below Causeway","BP 0.5 miles below causeway",2015-07-13,"2015","Jul",194,50.6178,50.6178,NA,NA,16.1830152096672,10.8648278423632,2.55329868757431,0.42984169523528,0.0214686386821502,0.0204377389300933,1.05044098838835,0.750125174108669,1.57549554828067,6.32228423725439,0.863430595207956,2.34497858679431,1.21073446404997,NA,0.735460866042376,0.293780121004669,0.0868564520766781,0.774547648185023,NA,0.0224750436312081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1.5 km below Qu'Appelle R. Inflow Centre","BP 1.5 km below Qu'ap.",2015-07-13,"2015","Jul",194,50.76727,50.76727,NA,NA,9.60595865548484,6.52166064855514,1.54766105602435,0.250287388912504,0.0210619731513881,0.0212906855223722,0.989257632369623,0.721724112599369,1.53547389670511,8.62911846938952,0.896148333497095,1.40545160159975,0.765611439773601,NA,0.443419957660007,0.196897984822663,0.0644938444141019,0.464457193699789,NA,0.0153712340982541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","0.5 mi Below Outlet","BP outlet",2015-07-13,"2015","Jul",194,NA,NA,NA,NA,17.483139196679,11.522116081611,2.30242741789262,0.310006319462516,0.023696351018669,0.0224740536765039,1.05438704382213,0.827648124205296,1.61432102036726,5.51868206913733,0.846594758051709,2.2990939064562,1.16651595619762,NA,0.717344085240823,0.268018553474182,0.069454968609274,0.756376674632037,NA,0.0225436617688696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Upstream of Causeway East","BP u/s (upstream) causeway ES (east side)",2015-07-14,"2015","Jul",195,50.720744,50.720744,NA,NA,12.1848770182064,8.2941641636884,1.9502365514144,0.294388746185385,0.0211840044245478,0.0213991572553913,0.989945733456896,0.748664856188494,1.64020745448179,6.08668660224464,0.858890331105758,1.84909351676447,0.972573194239901,NA,0.550062442461301,0.248016724862438,0.0686201627861154,0.584456869130835,NA,0.0176672521630622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Upstream of Causeway Centre","BP u/s (upstream) causeway",2015-07-14,"2015","Jul",195,50.722173,50.722173,NA,NA,11.4344758836425,7.73212138775383,1.79395750825272,0.279637949771388,0.0213140721828643,0.021456005222739,0.993384927044844,0.724136710292559,1.55309407574916,5.74993991046298,0.851850533002536,1.72903741527219,0.891460191446317,NA,0.532677803182062,0.215989371073007,0.066227485563715,0.585845752068301,NA,0.016916866431102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1.5 km below Qu'Appelle R. Inflow East","BP 1.5 km below Qu'ap East",2015-07-14,"2015","Jul",195,50.71159,50.71159,NA,NA,10.2665767507265,7.02772282409839,1.66902732321239,0.263609197647988,0.0209841918254497,0.0211265579176804,0.993261273663914,0.750490687416796,1.52531555891186,5.17051501381955,0.837938973041895,1.59725195050188,0.799404048143742,NA,0.464513468293719,0.201888861126913,0.0647758124781932,0.492621506006824,NA,0.0171271563447626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1.5 km below Qu'Appelle R. Inflow West","BP 1.5 km below Qu'ap West",2015-07-14,"2015","Jul",195,50.58653,50.58653,NA,NA,10.2748306420209,7.01523845285076,1.63605931534052,0.249781674785102,0.0211931446015311,0.021545994661339,0.983623403544181,0.74041398654233,1.53897754177895,5.76960470514791,0.852280887355276,1.54290403542614,0.797690615644285,NA,0.464648582843097,0.200045609840398,0.0632200528711675,0.490988268311386,NA,0.0156896499373471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
