date_ymd,year,month,DOC_mg.L,chla_ug.L,TP_ug.L,SRP_ug.L,SO4_mg.L,DON_mg.L,NO3_mg.L,NH3_mg.L,SK05JG004_combined_cms,SK05JG006_cms,RC_IC_cms
1996-12-01,1996,12,9.68,5.333333333333333,78.5,46,131.33333333333334,0.8,0.12,0.3125,0.9271741935483871,1.0227741935483872,0
1997-01-01,1997,1,9.825,0.5,87.33333333333333,52,138.75,0.78,0.32,0.3925,0.8316903225806451,0.9272903225806451,0
1997-02-01,1997,2,9.7,0.5,82.75,57.75,143.75,0.8,0.5825,0.385,0.8764357142857143,0.9720357142857143,0
1997-03-01,1997,3,10.08,0.75,80,55.25,144,0.7825,1.31,0.2475,6.563143223225914,1.6648387096774193,3.077
1997-04-01,1997,4,9.825,17.5,102.5,36.625,129.5,0.9125,1.4175,0.1675,15.023224376985999,0.1849,6.314866666666667
1997-05-01,1997,5,9.9,42.5,103,7,100,1.1025,0,0.07,1.551030487500645,1.214451612903226,0.1833225806451613
1997-06-01,1997,6,9.8,26.2,78.8,7.2,110,1.248,0.1225,0.046,4.280998954194667,4.224666666666667,0.027
1997-07-01,1997,7,10.575,52.5,98.25,25.75,121.5,1.445,0.21,0.08,3.940938153327097,3.928709677419355,0.009387096774193549
1997-08-01,1997,8,10.775,75.25,133.25,17,128,2.1075,0.07,0.0575,6.107410586454838,6.192903225806452,0.0017096774193548388
1997-09-01,1997,9,10.64,40,98.33333333333333,15.5,136.8,1.3439999999999999,0.154,0.05,3.1947713193526663,3.2703666666666664,8.333333333333334e-4
1997-10-01,1997,10,9.25,17.25,114,32.25,139.75,1.0325,0.665,0.0325,2.4172034808774194,2.412258064516129,0.007677419354838709
1997-11-01,1997,11,8.8,8.5,83,39.25,142.75,1.44,1.5425,0.06666666666666667,1.8760333333333332,2.022333333333333,0
1997-12-01,1997,12,9.08,36.2,73,8.5,143.5,1.77,0.34500000000000003,0.060000000000000005,1.8792387096774195,1.9748387096774194,0
1998-01-01,1998,1,9.425,15.666666666666666,74.66666666666667,24,164.5,0.9325,0.265,0.20500000000000002,1.8502064516129033,1.9458064516129032,0
1998-02-01,1998,2,9.1,7,59,32,169.25,1.3825,0.355,0.275,1.767257142857143,1.862857142857143,0
1998-03-01,1998,3,9.1,31.2,63.25,7.75,165.2,1.268,0.056,0.10400000000000001,2.3496486521999027,1.8358064516129033,0.47383870967741937
1998-04-01,1998,4,8.775,22.333333333333332,100,19,131.33333333333334,1.2000000000000002,0,0.1,4.7792204857866665,4.499666666666666,0.16083333333333333
1998-05-01,1998,5,8.174999999999999,10.5,68,21.75,118,0.8566666666666667,0,0.0925,8.380352070051613,8.28,0.030064516129032257
1998-06-01,1998,6,7.4799999999999995,8.8,65.5,27.5,111.25,1.0350000000000001,0,0.030000000000000002,8.263957754280666,8.149666666666667,0.07763333333333333
1998-07-01,1998,7,7.65,55.25,108.25,7.75,98,1.8675,0.085,0.1375,4.5318005975535485,4.441612903225806,0.13003225806451613
1998-08-01,1998,8,9.08,74,117.6,14.8,97.2,1.5879999999999999,0,0.158,4.832079916536129,4.877419354838709,0.002161290322580645
1998-09-01,1998,9,9.8,45.25,187,72,98.25,1.6766666666666667,0.1875,0.27,4.8568371749959995,4.954,0.0013333333333333333
1998-10-01,1998,10,10.3,29,150.66666666666666,59.5,98,1.16,0.755,0.35333333333333333,2.0049521462129034,1.8485483870967743,0.043225806451612905
1998-11-01,1998,11,8.36,34.75,84,18.25,99.5,1.2349999999999999,0.69,0.07,1.3847,1.5310000000000001,0
1998-12-01,1998,12,8.15,8,54,23,105.5,1.2866666666666666,0.645,0.08333333333333333,1.4169806451612903,1.5125806451612904,0
1999-01-01,1999,1,8.475,8.5,47.333333333333336,15.333333333333334,114.5,0.73,0.6125,0.05,1.3269806451612904,1.4225806451612903,0
1999-02-01,1999,2,8.75,4.5,43.5,22.5,119,0.7,0.58,0.08,1.3144,1.41,0
1999-03-01,1999,3,7.92,11,49.5,23.75,120,0.685,0.625,0.14,4.298277117116075,1.3391935483870967,4.841129032258064
1999-04-01,1999,4,7.9,27.666666666666668,90,14.333333333333334,96.5,0.7933333333333333,0.16,0,0.9712168225286666,0.05666666666666667,0.7789666666666667
1999-05-01,1999,5,7.6,22,86,11.4,81.6,0.758,0,0.026000000000000002,0.7756462217645161,0.13983870967741935,0.23293548387096774
1999-06-01,1999,6,8.55,43,116.25,23,85,1.3325,0.025,0.165,1.277809745534,1.1736,0.0956
1999-07-01,1999,7,11,59,172.5,44.75,89.75,1.625,0.04,0.13,3.8071865013793547,3.4970967741935484,0.08138709677419355
1999-08-01,1999,8,12.28,85,232,58.6,104.2,2.06,0.052000000000000005,0.44799999999999995,4.092393116376129,4.034516129032258,0.022258064516129033
1999-09-01,1999,9,11.85,67.75,155,22,122,1.54,0,0,4.032397784654666,4.051666666666667,0.06179527
1999-10-01,1999,10,12,23.25,93.25,14.75,126.5,1.1925,0.05,0.0925,3.5470046186645163,3.539032258064516,0.13104458064516128
1999-11-01,1999,11,11.799999999999999,24,62.666666666666664,6,130,1.0133333333333334,0.0375,0.14333333333333334,1.827640270744,1.968,0.004647993333333334
