"","p.05","p.50","p.95","ex.05","ex.50","ex.95"
"X132",9.44900443460057,12.9343756365072,17.445276155894,6.00298774148057,9.48835894338715,13.999259462774
"X133",15.4170563726295,20.0136583071281,25.3114685556355,11.5981354741895,16.1947374086881,21.4925476571955
"X134",8.62367101741944,12.0802460561707,16.13051650126,2.83654142451944,6.2931164632707,10.34338690836
"X135",6.46573772723667,9.24707991067618,13.1978087808646,0.871182063176668,3.65252424661618,7.60325311680456
"X136",6.29790776723568,9.15141032270718,13.1386173439116,1.79410527700568,4.64760783247718,8.63481485368156
"X137",14.9827358401195,18.7175920827179,22.6204896606477,9.26644860866953,13.0013048512679,16.9042024291977
"X138",9.20265093889513,12.523519785559,15.7228493745263,5.29940272417513,8.620271570839,11.8196011598063
"X139",9.61537947058268,12.7619178208254,15.7846825749655,5.34183859228269,8.4883769425254,11.5111416966655
"X140",14.674116004193,18.3704989062404,22.2875669165103,9.07597528764301,12.7723581896904,16.6894261999603
"X141",6.53851264567891,9.48351164279421,12.1196647119472,-0.488522113841089,2.45647688327421,5.09262995242724
"X142",9.1759382759355,12.3616273652638,15.3817714024694,3.0844831978055,6.27017228713385,9.29031632433935
"X143",9.33904236133888,12.4569078535393,15.539635939686,4.40359009082888,7.5214555830293,10.604183669176
"X144",9.11642823226893,12.2562077178608,15.3207001788941,3.04035592086893,6.18013540646085,9.24462786749411
"X145",14.3976352928114,18.1868151372506,21.8546138949426,9.50976908187144,13.2989489263106,16.9667476840026
"X146",9.13321936757032,12.3095947252075,15.2807667748532,3.18704131276032,6.3634166703975,9.3345887200432
"X147",8.93900971719403,12.3157897361687,15.3097085440999,2.32143693277403,5.6982169517487,8.69213575967995
"X148",14.3432780228379,18.0699778309625,22.0502928339798,7.39357328040787,11.1202730885324,15.1005880915498
"X149",14.4996157138616,18.0163535748443,21.7918881569273,7.2374041049716,10.7541419659543,14.5296765480373
"X150",14.2942954870583,18.0094661661564,21.9258431533244,8.62014845336834,12.3353191324664,16.2516961196344
