"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq"
"61","C09-01","AP",6.245939246,1.921460592,"jack pine",17.78492854,21.34531684,12.83024783,12.83024783,72.18592072,7.218592072,72.18592072,30.20792007,10.23938408,5.611655758,11.857595004,30.2079200745,3.02079200745
"62","C09-02","AP",6.55788077,2.161389424,"jack pine",17.4829671,21.0433554,12.5282864,12.5282864,73.62838745,7.362838745,73.62838745,27.43810654,10.1066494,5.165447655,11.723328425,27.4381065369,2.74381065369
"63","C09-03","AP",12.72085481,NA,"black spruce",28.19083997,27.44883997,12.70725926,12.70725926,73.88217926,7.388217926,73.88217926,26.39748192,10.02796612,5.319041334,18.039896144,26.3974819183,2.63974819183
"64","C09-04","AP",7.16226511,2.818383304,"jack pine",17.15648639,20.71687469,12.20180569,12.20180569,66.84854889,6.684854889,66.84854889,21.5754776,8.842402649,5.516950801,12.679215911,21.5754776001,2.15754776001
"65","C09-05","AP",12.86925366,NA,"black spruce",27.73233883,26.99033883,12.24875811,12.24875811,94.17877197,9.417877197,94.17877197,26.82853889,12.10073109,2.830880913,15.700134573,26.8285388947,2.68285388947
"66","C10-01","AP",12.09557266,NA,"black spruce",28.24413682,27.50213682,12.7605561,12.7605561,90.75576782,9.075576782,90.75576782,31.77340698,12.25291748,3.684979318,15.780551978,31.7734069824,3.17734069824
"67","C10-02","AP",6.399812323,2.152792254,"jack pine",18.76284216,22.32323047,13.80816146,13.80816146,79.65285492,7.965285492,79.65285492,28.30677223,10.79596272,5.842875968,12.242688291,28.3067722321,2.83067722321
"68","C10-03","AP",13.32297213,NA,"black spruce",29.11902706,28.37702706,13.63544635,13.63544635,61.92847061,6.192847061,61.92847061,22.34630966,8.427478027,7.442599289,20.765571419,22.3463096619,2.23463096619
"69","C11-01","AP",5.728826288,1.405751255,"jack pine",17.61858441,21.17897272,12.66390371,12.66390371,101.4500656,10.14500656,101.4500656,35.31747437,13.676754,2.51889715,8.247723438,35.3174743652,3.53174743652
"70","C11-02","AP",6.458836571,2.170466832,"jack pine",17.14907338,20.70946168,12.19439268,12.19439268,87.30994415,8.730994415,87.30994415,27.91116905,11.52211132,3.463398265,9.922234836,27.9111690521,2.79111690521
"71","C11-03","AP",6.642780619,2.424251358,"jack pine",16.05881262,19.61920092,11.10413192,11.10413192,89.81711578,8.981711578,89.81711578,25.7545166,11.55716324,2.122420342,8.765200961,25.7545166016,2.57545166016
"72","C11-04","AP",5.614927138,1.38518211,"jack pine",17.24878277,20.80917107,12.29410207,12.29410207,87.26415253,8.726415253,87.26415253,36.04652786,12.33106804,3.567686817,9.182613955,36.0465278625,3.60465278625
"73","C11-05","AP",12.8307837,NA,"black spruce",26.66384292,25.92184292,11.1802622,11.1802622,89.92739105,8.992739105,89.92739105,26.79372597,11.6721117,2.187523095,15.018306795,26.7937259674,2.67937259674
"74","C12-01","AP",6.202762494,1.868407415,"jack pine",18.17391162,21.73429992,13.21923092,13.21923092,72.73310852,7.273310852,72.73310852,31.00345993,10.37365685,5.945920068,12.148682562,31.0034599304,3.10034599304
"75","C12-02","AP",5.967830888,1.630470101,"jack pine",27.42287695,30.98326525,22.46819624,22.46819624,76.34771729,7.634771729,76.34771729,33.13045883,10.94781761,14.833424511,20.801255399,33.1304588318,3.31304588318
"76","C12-03","AP",11.84390012,NA,"black spruce",27.98223908,27.24023908,12.49865836,12.49865836,90.05458069,9.005458069,90.05458069,35.92803192,12.59826126,3.493200291,15.337100411,35.9280319214,3.59280319214
"77","C12-04","AP",6.299164238,1.987413587,"jack pine",23.3689787,26.929367,18.41429799,18.41429799,77.27436829,7.727436829,77.27436829,29.65992165,10.69342899,10.686861161,16.986025399,29.6599216461,2.96599216461
"78","C12-05","AP",12.13723977,NA,"black spruce",31.7189818,30.9769818,16.23540108,16.23540108,86.66394043,8.666394043,86.66394043,32.74830246,11.94122429,7.569007037,19.706246807,32.7483024597,3.27483024597
"79","C12-06","AP",5.497823429,1.230295416,"jack pine",16.51127853,20.07166684,11.55659783,11.55659783,117.2001648,11.72001648,117.2001648,37.0025177,15.42026825,-0.163418650000001,5.334404779,37.0025177002,3.70025177002
"80","C12-07","AP",6.666701363,2.364495992,"jack pine",18.86489113,22.42527944,13.91021043,13.91021043,79.02256775,7.902256775,79.02256775,25.6760025,10.46985703,6.007953655,12.674655018,25.6760025024,2.56760025024
"81","C12-08","AP",5.906114629,1.57443883,"jack pine",19.61026209,23.17065039,14.65558139,14.65558139,104.4348831,10.44348831,104.4348831,33.72118759,13.81560707,4.21209308,10.118207709,33.7211875916,3.37211875916
"82","D01-01","CRU",8.384654403,4.044868972,"jack pine",23.5969695,26.45735781,15.9122888,15.9122888,122.9710693,12.29710693,122.9710693,33.59011078,15.65611801,3.61518187,11.999836273,33.5901107788,3.35901107788
"83","D01-02","CRU",7.57895183,3.175877359,"jack pine",23.88330738,26.74369568,16.19862668,16.19862668,114.4415894,11.44415894,114.4415894,42.47058487,15.69121742,4.75446774,12.33341957,42.4705848694,4.24705848694
"84","D01-03","CRU",8.146978437,3.761377122,"jack pine",23.5607319,26.4211202,15.87605119,15.87605119,90.49860382,9.049860382,90.49860382,36.54802322,12.7046627,6.826190808,14.973169245,36.5480232239,3.65480232239
