"","Year","month","day","date","40 cms threshold_uniform demand_lower bound.cms","40 cms threshold_uniform demand_upper bound.cms","40 cms threshold_allocation demand_lower bound.cms","40 cms threshold_allocation demand_upper bound.cms","40 cms threshold_WRMM demand_lower bound.cms","40 cms threshold_WRMM demand_upper bound.cms","50 cms threshold_uniform demand_lower bound.cms","50 cms threshold_uniform demand_upper bound.cms","50 cms threshold_allocation demand_lower bound.cms","50 cms threshold_allocation demand_upper bound.cms","50 cms threshold_WRMM demand_lower bound.cms","50 cms threshold_WRMM demand_upper bound.cms","60 cms threshold_uniform demand_lower bound.cms","60 cms threshold_uniform demand_upper bound.cms","60 cms threshold_allocation demand_lower bound.cms","60 cms threshold_allocation demand_upper bound.cms","60 cms threshold_WRMM demand_lower bound.cms","60 cms threshold_WRMM demand_upper bound.cms"
"164",2001,6,13,2001-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",2001,6,14,2001-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",2001,6,15,2001-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",2001,6,16,2001-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",2001,6,17,2001-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",2001,6,18,2001-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",2001,6,19,2001-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",2001,6,20,2001-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",2001,6,21,2001-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",2001,6,22,2001-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",2001,6,23,2001-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",2001,6,24,2001-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",2001,6,25,2001-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",2001,6,26,2001-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",2001,6,27,2001-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",2001,6,28,2001-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",2001,6,29,2001-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",2001,6,30,2001-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",2001,7,1,2001-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",2001,7,2,2001-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",2001,7,3,2001-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2001,7,4,2001-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",2001,7,5,2001-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",2001,7,6,2001-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",2001,7,7,2001-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",2001,7,8,2001-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",2001,7,9,2001-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",2001,7,10,2001-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",2001,7,11,2001-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",2001,7,12,2001-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",2001,7,13,2001-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",2001,7,14,2001-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",2001,7,15,2001-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",2001,7,16,2001-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",2001,7,17,2001-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",2001,7,18,2001-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",2001,7,19,2001-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",2001,7,20,2001-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",2001,7,21,2001-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",2001,7,22,2001-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",2001,7,23,2001-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",2001,7,24,2001-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",2001,7,25,2001-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",2001,7,26,2001-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",2001,7,27,2001-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",2001,7,28,2001-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",2001,7,29,2001-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",2001,7,30,2001-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",2001,7,31,2001-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",2001,8,1,2001-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",2001,8,2,2001-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",2001,8,3,2001-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",2001,8,4,2001-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
